"","eventID","occurrenceID","basisOfRecord","scientificNameID","scientificNameAccepted","taxonRank","kingdom","phylum","class","order","family","genus","recordedBy","organismQuantityType","occurrenceStatus","licence","language"
"985","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ217","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"995","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ218","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1005","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ219","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1015","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ220","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1025","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ221","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1035","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ222","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1065","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ223","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1075","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ224","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1125","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ225","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1135","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ226","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1265","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009_occ227","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1335","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008_occ228","HumanObservation","urn:lsid:marinespecies.org:taxname:204291","Siderastrea","Genus","Animalia","Cnidaria","Hexacorallia","Scleractinia","Rhizangiidae","Siderastrea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"119","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ229","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"29","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ230","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"316","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ231","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"66","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ232","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"76","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ233","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ234","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1110","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ235","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"146","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ236","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"156","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ237","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"166","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011_occ238","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"176","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ239","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"186","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ240","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"206","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ241","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"216","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ242","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"266","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ243","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"276","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ244","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"306","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ245","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"317","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ246","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"326","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ247","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"336","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ248","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"346","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011_occ249","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"396","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010_occ250","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"406","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010_occ251","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"416","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018_occ252","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"426","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010_occ253","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"436","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010_occ254","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"986","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ255","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"996","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ256","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1006","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ257","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1017","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ258","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1026","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ259","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1036","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ260","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1066","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ261","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1076","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ262","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1126","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ263","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1136","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ264","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1266","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009_occ265","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"1336","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008_occ266","HumanObservation","urn:lsid:marinespecies.org:taxname:287962","Montastraea cavernosa","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Montastraeidae","Montastraea","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"120","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ267","HumanObservation","urn:lsid:marinespecies.org:taxname:287107","Madracis decactis","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Madracis","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"210","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ268","HumanObservation","urn:lsid:marinespecies.org:taxname:287107","Madracis decactis","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Madracis","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"318","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ269","HumanObservation","urn:lsid:marinespecies.org:taxname:287107","Madracis decactis","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Madracis","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"67","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ270","HumanObservation","urn:lsid:marinespecies.org:taxname:287107","Madracis decactis","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Madracis","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"77","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ271","HumanObservation","urn:lsid:marinespecies.org:taxname:287107","Madracis decactis","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Madracis","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
