id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	21	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	33	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	20	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	17	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	11	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	16	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	13	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	22	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	19	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	8	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	15	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	10	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	14	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	61	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_C1_2003	Percentage cover	0	dimensionless
