id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video7_62	Relative cover	0.588	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video3_63	Relative cover	0.12	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video5_64	Relative cover	0.004	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video6_65	Relative cover	0.508	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video12_66	Relative cover	0.512	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video13_67	Relative cover	0.276	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video14_68	Relative cover	0.34	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video15_69	Relative cover	0.536	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video17_70	Relative cover	0.224	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video23_71	Relative cover	0.36	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video24_72	Relative cover	0.292	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video25_73	Relative cover	0.356	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video3_74	Relative cover	0.184	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video5_75	Relative cover	0.136	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video6_76	Relative cover	0.216	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video7_77	Relative cover	0.428	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video8_78	Relative cover	0.296	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video9_79	Relative cover	0.532	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_chapeirao_chapeirao_2010_Video10_80	Relative cover	0.076	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video1_81	Relative cover	0.832	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video10_82	Relative cover	0.852	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video11_83	Relative cover	0.9	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video12_84	Relative cover	0.836	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video13_85	Relative cover	0.24	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video14_86	Relative cover	0.644	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video15_87	Relative cover	0.6	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video2_88	Relative cover	0.916	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video24_89	Relative cover	0.78	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video25_90	Relative cover	0.592	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video4_91	Relative cover	0.884	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video6_92	Relative cover	0.76	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video8_93	Relative cover	0.808	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_portinho_norte_portinho_norte_2010_Video9_94	Relative cover	0.764	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video1_95	Relative cover	0.52	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video10_96	Relative cover	0.62	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video11_97	Relative cover	0.524	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video12_98	Relative cover	0.56	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video13_99	Relative cover	0.632	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video14_100	Relative cover	0.724	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video15_101	Relative cover	0.612	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video17_102	Relative cover	0.584	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video2_103	Relative cover	0.528	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video3_104	Relative cover	0.7	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video4_105	Relative cover	0.684	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video5_106	Relative cover	0.572	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video6_107	Relative cover	0.732	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video8_108	Relative cover	0.828	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_siriba_siriba_2011_Video9_109	Relative cover	0.76	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video1_110	Relative cover	0.392	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video2_111	Relative cover	0.588	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video3_112	Relative cover	0.552	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video4_113	Relative cover	0.436	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video5_114	Relative cover	0.092	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video6_115	Relative cover	0.172	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video3_116	Relative cover	0.092	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video4_117	Relative cover	0.148	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video5_118	Relative cover	0.484	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video10_119	Relative cover	0.512	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video11_120	Relative cover	0.468	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video12_121	Relative cover	0.62	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video13_122	Relative cover	0.036	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video8_123	Relative cover	0.356	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video9_124	Relative cover	0.228	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video32_125	Relative cover	0.328	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video33_126	Relative cover	0.388	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video34_127	Relative cover	0.36	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video35_128	Relative cover	0.564	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_calheta_calheta_2012_Video36_129	Relative cover	0.348	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video46_130	Relative cover	0.148	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video47_131	Relative cover	0.02	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video48_132	Relative cover	0.148	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video49_133	Relative cover	0.18	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video50_134	Relative cover	0.148	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video51_135	Relative cover	0.144	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video52_136	Relative cover	0.384	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012__137	Relative cover	0.428	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video55_138	Relative cover	0.856	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video57_139	Relative cover	0.524	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video58_140	Relative cover	0.096	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video59_141	Relative cover	0.772	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video60_142	Relative cover	0.652	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video61_143	Relative cover	0.604	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video62_144	Relative cover	0.036	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video28_145	Relative cover	0.396	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_farilhoes_farilhoes_2012_Video29_146	Relative cover	0.148	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video64_147	Relative cover	0.008	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video67_148	Relative cover	0.04	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video66_149	Relative cover	0.004	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_orelhas_orelhas_2012_Video51_150	Relative cover	0.1	dimensionless
